Benchmark,Total Time (ns),Total Queries,Batch Size,Create Time (ns),Read Time (ns),Update Time (ns),Delete Time (ns)
BatchQueryBenchmark,3307195,400,5,794721,836780,893576,782118
BatchQueryBenchmark,3151966,400,5,739829,791786,867457,752894
BatchQueryBenchmark,3068260,400,5,663878,791826,871835,740721
BatchQueryBenchmark,3021753,400,5,659930,780765,837552,743506
BatchQueryBenchmark,3062980,400,5,673806,780916,848241,760017
BatchQueryBenchmark,3369140,400,5,657957,995095,958526,757562
BatchQueryBenchmark,3749128,400,5,1118294,1022476,863800,744558
BatchQueryBenchmark,3027834,400,5,659649,793780,844604,729801
BatchQueryBenchmark,2989812,400,5,642237,775215,840516,731844
BatchQueryBenchmark,3969981,400,5,722277,967163,867427,1413114
BatchQueryBenchmark,4503515,400,5,658137,1063082,1861349,920947
BatchQueryBenchmark,2982739,400,5,623442,769524,863429,726344
BatchQueryBenchmark,2964526,400,5,606110,775205,857568,725643
BatchQueryBenchmark,2962983,400,5,605108,769755,860343,727777
BatchQueryBenchmark,2999932,400,5,621419,771969,869320,737224
BatchQueryBenchmark,2955159,400,5,608915,770567,872717,702960
BatchQueryBenchmark,2963184,400,5,603986,776728,875031,707439
BatchQueryBenchmark,2973112,400,5,640985,760558,864702,706867
BatchQueryBenchmark,2975517,400,5,648759,771058,857769,697931
BatchQueryBenchmark,2941873,400,5,627329,763413,856687,694444
BatchQueryBenchmark,2963514,400,5,634623,762311,860173,706407
BatchQueryBenchmark,2964446,400,5,655021,756330,857348,695747
BatchQueryBenchmark,2951933,400,5,637168,759926,856357,698482
BatchQueryBenchmark,2968915,400,5,634032,770697,867898,696288
BatchQueryBenchmark,2979885,400,5,647497,766118,858270,708000
BatchQueryBenchmark,3003920,400,5,699835,759165,834095,710825
BatchQueryBenchmark,3383657,400,5,1025652,790032,860464,707509
BatchQueryBenchmark,3297687,400,5,653197,759907,852669,1031914
BatchQueryBenchmark,2970447,400,5,647597,760878,864772,697200
BatchQueryBenchmark,2936103,400,5,641165,754356,838934,701648
BatchQueryBenchmark,2923830,400,5,624514,758363,840297,700656
BatchQueryBenchmark,2930032,400,5,633501,758574,821331,716626
BatchQueryBenchmark,2923840,400,5,623522,757893,823275,719150
BatchQueryBenchmark,2899213,400,5,621458,746872,810901,719982
BatchQueryBenchmark,3000893,400,5,626628,779052,816822,778391
BatchQueryBenchmark,2956070,400,5,632439,768312,840487,714832
BatchQueryBenchmark,2924361,400,5,630205,759867,824456,709833
BatchQueryBenchmark,2915935,400,5,634222,746321,824457,710935
BatchQueryBenchmark,2894945,400,5,626838,750208,796344,721555
BatchQueryBenchmark,2897351,400,5,626348,754777,808547,707679
BatchQueryBenchmark,2900177,400,5,629454,745109,816662,708952
BatchQueryBenchmark,2913581,400,5,616720,770366,815991,710504
BatchQueryBenchmark,2877384,400,5,617151,741933,806593,711707
BatchQueryBenchmark,2914694,400,5,636146,745319,807826,725403
BatchQueryBenchmark,2954016,400,5,624694,765597,833924,729801
BatchQueryBenchmark,2964075,400,5,640824,767331,823104,732816
BatchQueryBenchmark,2980636,400,5,647377,767570,839095,726594
BatchQueryBenchmark,3018046,400,5,655812,770276,854253,737705
BatchQueryBenchmark,3023617,400,5,638891,781277,859121,744328
BatchQueryBenchmark,2995704,400,5,659680,766970,841739,727315
BatchQueryBenchmark,3010191,400,5,646364,778361,842250,743216
BatchQueryBenchmark,2996155,400,5,652006,771338,842540,730271
BatchQueryBenchmark,2885399,400,5,639843,739759,806143,699654
BatchQueryBenchmark,2924091,400,5,618894,741923,817895,745379
BatchQueryBenchmark,2848689,400,5,615738,738407,802004,692540
BatchQueryBenchmark,2825426,400,5,606310,733918,791956,693242
BatchQueryBenchmark,2878556,400,5,619255,749126,803859,706316
BatchQueryBenchmark,2848349,400,5,589759,739408,820129,699053
BatchQueryBenchmark,3253625,400,5,840076,754306,885160,774083
BatchQueryBenchmark,3818839,400,5,1194787,990807,883607,749638
BatchQueryBenchmark,3051487,400,5,631256,768462,905027,746742
BatchQueryBenchmark,3338162,400,5,811893,872336,898595,755338
BatchQueryBenchmark,3043381,400,5,639431,793068,864511,746371
BatchQueryBenchmark,5032370,400,5,645453,781446,2587303,1018168
BatchQueryBenchmark,3128141,400,5,682322,800622,885992,759205
BatchQueryBenchmark,3379700,400,5,673606,891361,984846,829887
BatchQueryBenchmark,3755150,400,5,805451,967393,1171925,810381
BatchQueryBenchmark,3160431,400,5,728257,813417,882485,736272
BatchQueryBenchmark,3089649,400,5,667704,780816,877656,763473
BatchQueryBenchmark,3572159,400,5,823926,894448,1079211,774574
BatchQueryBenchmark,3082115,400,5,673455,791315,888637,728708
BatchQueryBenchmark,3453077,400,5,705686,821772,1137951,787668
BatchQueryBenchmark,3434973,400,5,682402,1041161,954068,757342
BatchQueryBenchmark,3473565,400,5,676591,860855,1020773,915346
BatchQueryBenchmark,3082436,400,5,668767,793649,867457,752563
BatchQueryBenchmark,3052961,400,5,655041,790534,879479,727907
BatchQueryBenchmark,3100569,400,5,659059,793569,900218,747723
BatchQueryBenchmark,3097033,400,5,668967,801073,862949,764044
BatchQueryBenchmark,3044294,400,5,665861,779864,858590,739979
BatchQueryBenchmark,3033665,400,5,664278,784964,848401,736022
BatchQueryBenchmark,3036290,400,5,650473,800512,847109,738196
BatchQueryBenchmark,3390269,400,5,644090,923341,1087307,735531
BatchQueryBenchmark,3209022,400,5,667624,784653,901380,855365
BatchQueryBenchmark,3292788,400,5,849423,817143,878688,747534
BatchQueryBenchmark,3064413,400,5,660812,782459,873819,747323
BatchQueryBenchmark,3756182,400,5,1038306,857909,841589,1018378
BatchQueryBenchmark,3370312,400,5,929372,787789,839645,813506
BatchQueryBenchmark,3660343,400,5,1200257,893215,842561,724310
BatchQueryBenchmark,2924531,400,5,640474,753554,808317,722186
BatchQueryBenchmark,3291666,400,5,859833,895690,820199,715944
BatchQueryBenchmark,2916205,400,5,632679,743405,824377,715744
BatchQueryBenchmark,2907781,400,5,624034,745860,823826,714061
BatchQueryBenchmark,2905496,400,5,628651,752343,810831,713671
BatchQueryBenchmark,2920664,400,5,633601,754536,821862,710665
BatchQueryBenchmark,2906888,400,5,634903,752293,813105,706587
BatchQueryBenchmark,2891049,400,5,617892,749748,811412,711997
BatchQueryBenchmark,2897351,400,5,615557,740621,830438,710735
BatchQueryBenchmark,2892151,400,5,622150,737765,809820,722416
BatchQueryBenchmark,2907009,400,5,636106,757522,809639,703742
BatchQueryBenchmark,2887202,400,5,643319,739348,799731,704804
,
Total Time Average (ms),"=AVERAGE(B2,B101)/1000000"
Create Time Average (ms),"=AVERAGE(E2,E101)/1000000"
Read Time Average (ms),"=AVERAGE(F2,F101)/1000000"
Update Time Average (ms),"=AVERAGE(G2,G101)/1000000"
Delete Time Average (ms),"=AVERAGE(H2,H101)/1000000"
